Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
4,9/06/2019,3,0,CCU ? BOM ? BLR,21:10,12:00 10 Jun,14h 50m,0,5,0.3483652762119504
4,24/03/2019,0,5,BLR ? DEL,19:55,22:35,2h 40m,4,8,-0.16107666290868095
4,6/05/2019,3,0,CCU ? BOM ? BLR,06:30,04:40 07 May,22h 10m,0,8,0.7848083427282976
3,27/06/2019,2,1,DEL ? BOM ? COK,11:25,21:00,9h 35m,0,8,-0.3492108229988726
6,18/05/2019,2,1,DEL ? BOM ? COK,09:00,19:00,10h,0,8,0.25718714768883877
4,06/03/2019,0,5,BLR ? BOM ? DEL,14:05,11:25 07 Mar,21h 20m,0,5,0.7525366403607666
3,24/06/2019,2,1,DEL ? MAA ? COK,02:00,07:25,5h 25m,0,8,-0.3855693348365276
4,6/06/2019,2,1,DEL ? JAI ? BOM ? COK,09:40,04:25 07 Jun,18h 45m,1,8,0.6541713641488163
4,1/04/2019,3,0,CCU ? BOM ? BLR,08:25,20:45,12h 20m,0,5,-0.1843291995490417
4,24/05/2019,3,0,CCU ? DEL ? BLR,20:25,14:25 25 May,18h,0,5,0.3284949267192785
6,27/05/2019,2,1,DEL ? HYD ? COK,13:15,22:30,9h 15m,0,8,0.17953776775648253
6,6/03/2019,2,1,DEL ? BOM ? COK,02:15,13:20,11h 5m,0,8,1.2239289740698986
4,12/03/2019,0,5,BLR ? BOM ? DEL,16:55,10:25 13 Mar,17h 30m,0,8,0.7673337091319054
1,6/03/2019,2,1,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,1,8,0.7576099210822999
1,21/04/2019,3,0,CCU ? BLR,20:45,23:20,2h 35m,4,8,-0.49210822998872605
3,21/06/2019,1,4,MAA ? CCU,05:15,07:40,2h 25m,4,8,-0.6809470124013529
8,15/05/2019,0,2,BLR ? DEL,05:55,08:35,2h 40m,4,7,-0.7208286358511837
4,3/06/2019,0,2,BLR ? DEL,19:50,22:50,3h,4,5,-0.2669109357384442
4,18/06/2019,4,3,BOM ? HYD,07:05,08:30,1h 25m,4,8,-0.0467869222096956
4,12/06/2019,2,1,DEL ? ATQ ? BOM ? COK,20:00,12:35 13 Jun,16h 35m,1,8,0.8354002254791432
4,15/05/2019,3,0,CCU ? BOM ? BLR,08:25,20:45,12h 20m,0,8,0.903184892897407
4,9/06/2019,3,0,CCU ? BOM ? BLR,20:00,08:15 10 Jun,12h 15m,0,8,0.9254509582863585
4,24/06/2019,2,1,DEL ? BOM ? COK,20:55,04:25 25 Jun,7h 30m,0,5,0.2663472378804961
1,12/05/2019,3,0,CCU ? MAA ? BLR,14:35,14:35 13 May,24h,0,8,-0.25986471251409243
1,1/05/2019,0,2,BLR ? DEL,06:10,08:55,2h 45m,4,8,-0.31722096956031565
4,18/05/2019,2,1,DEL ? JAI ? BOM ? COK,19:30,04:25 19 May,8h 55m,1,5,0.6562852311161218
6,27/03/2019,2,1,DEL ? BOM ? COK,11:40,18:50,7h 10m,0,8,0.42967869222096955
6,27/03/2019,2,1,DEL ? BOM ? COK,04:45,19:15,14h 30m,0,8,-0.11245772266065389
1,9/05/2019,2,1,DEL ? JDH ? BOM ? COK,12:55,19:15 10 May,30h 20m,1,8,0.45434047350620066
4,24/05/2019,2,1,DEL ? AMD ? BOM ? COK,23:05,19:00 25 May,19h 55m,1,8,0.9522266065388951
4,18/03/2019,0,5,BLR ? BOM ? DEL,14:05,05:05 16 Mar,15h,0,8,0.7304114994363021
3,12/04/2019,0,2,BLR ? DEL,18:55,21:50,2h 55m,4,8,-0.3652762119503946
10,12/05/2019,3,0,CCU ? DEL ? BLR,20:20,09:05 13 May,12h 45m,0,8,0.14444757609921083
4,6/03/2019,2,1,DEL ? BOM ? COK,18:15,04:25 07 Mar,10h 10m,0,8,1.2192784667418264
2,27/06/2019,2,1,DEL ? BOM ? COK,07:00,12:55,5h 55m,0,8,-0.435597519729425
6,18/05/2019,2,1,DEL ? HYD ? COK,07:05,22:30,15h 25m,0,8,0.27846674182638104
1,6/03/2019,2,1,DEL ? MAA ? COK,17:20,09:25 07 Mar,16h 5m,0,8,0.6066798196166855
6,3/03/2019,2,1,DEL ? BOM ? COK,15:25,01:35 04 Mar,10h 10m,0,8,0.9547632468996617
10,12/06/2019,0,2,BLR ? DEL,07:00,09:40,2h 40m,4,8,-0.5219842164599775
4,9/05/2019,2,1,DEL ? BOM ? COK,07:05,19:00,11h 55m,0,8,1.012119503945885
8,9/04/2019,0,2,BLR ? DEL,05:55,08:35,2h 40m,4,8,-0.6202085682074409
1,3/05/2019,4,3,BOM ? HYD,15:00,16:25,1h 25m,4,8,-0.7429537767756482
4,6/05/2019,3,0,CCU ? BOM ? BLR,20:00,10:05 07 May,14h 5m,0,5,0.18193348365276213
1,1/03/2019,2,1,DEL ? BOM ? COK,23:00,19:15 02 Mar,20h 15m,0,8,2.685738444193912
3,12/05/2019,1,4,MAA ? CCU,05:15,07:40,2h 25m,4,8,-0.6809470124013529
1,21/05/2019,3,0,CCU ? BBI ? BOM ? BLR,12:00,11:10 22 May,23h 10m,1,8,0.3246899661781285
4,12/06/2019,3,0,CCU ? BOM ? BLR,14:05,08:15 13 Jun,18h 10m,0,8,0.6583990980834273
4,6/05/2019,3,0,CCU ? BOM ? BLR,20:00,12:00 07 May,16h,0,8,0.8478015783540023
3,24/06/2019,0,2,BLR ? DEL,04:00,06:50,2h 50m,4,8,-0.6241544532130778
3,3/06/2019,1,4,MAA ? CCU,14:45,17:05,2h 20m,4,8,-0.6729143179255919
1,21/03/2019,0,5,BLR ? MAA ? DEL,11:50,19:50,8h,0,8,-0.3438556933483653
4,15/06/2019,2,1,DEL ? BOM ? COK,11:30,04:25 16 Jun,16h 55m,0,5,0.2663472378804961
10,12/05/2019,2,1,DEL ? COK,14:40,17:50,3h 10m,4,8,-0.3038331454340473
3,15/06/2019,3,0,CCU ? BLR,20:25,23:10,2h 45m,4,8,-0.5028184892897407
6,21/05/2019,2,1,DEL ? BOM ? COK,11:30,01:30 22 May,14h,0,8,0.802564825253664
4,18/05/2019,2,1,DEL ? AMD ? BOM ? COK,19:10,19:00 19 May,23h 50m,1,8,0.9522266065388951
4,6/06/2019,2,1,DEL ? NAG ? BOM ? COK,06:45,04:25 07 Jun,21h 40m,1,8,0.7051860202931229
1,27/06/2019,2,1,DEL ? GOI ? BOM ? COK,22:00,19:15 28 Jun,21h 15m,1,8,0.2915727170236753
4,24/05/2019,0,2,BLR ? DEL,06:00,08:45,2h 45m,4,5,-0.6118940248027057
4,3/03/2019,2,1,DEL ? BOM ? COK,08:00,18:50,10h 50m,0,8,1.2192784667418264
6,9/04/2019,2,1,DEL ? BOM ? COK,17:30,01:30 10 Apr,8h,0,8,0.6545941375422774
2,6/06/2019,3,0,CCU ? BOM ? BLR,23:30,07:45 07 Jun,8h 15m,0,8,-0.23759864712514092
3,15/06/2019,2,1,DEL ? MAA ? COK,02:00,07:25,5h 25m,0,8,-0.3855693348365276
3,9/06/2019,2,1,DEL ? HYD ? COK,07:35,16:10,8h 35m,0,8,-0.27198421645997745
6,21/05/2019,2,1,DEL ? HYD ? COK,13:05,00:55 22 May,11h 50m,0,8,0.15698985343855693
4,21/05/2019,3,0,CCU ? BOM ? BLR,20:00,23:35 22 May,27h 35m,0,5,0.3483652762119504
4,3/06/2019,2,1,DEL ? ATQ ? BOM ? COK,20:00,04:25 04 Jun,8h 25m,1,5,0.9788613303269448
1,3/04/2019,2,1,DEL ? MAA ? COK,12:30,09:25 04 Apr,20h 55m,0,8,-0.4587091319052988
3,24/06/2019,2,1,DEL ? BLR ? COK,15:10,20:00,4h 50m,0,8,-0.31355693348365277
6,9/06/2019,2,1,DEL ? BOM ? COK,12:50,21:00,8h 10m,0,8,-0.1926437429537768
8,3/04/2019,3,0,CCU ? BLR,22:20,00:40 04 Apr,2h 20m,4,8,-0.6340191657271702
4,21/03/2019,2,1,DEL ? BDQ ? BOM ? COK,18:25,18:50 22 Mar,24h 25m,1,5,0.12655016910935737
2,27/06/2019,0,2,BLR ? DEL,11:40,14:30,2h 50m,4,8,-0.6304960541149943
4,12/05/2019,3,0,CCU ? BOM ? BLR,08:25,20:45,12h 20m,0,8,0.903184892897407
4,24/05/2019,3,0,CCU ? BOM ? BLR,20:00,08:15 25 May,12h 15m,0,5,0.03015783540022548
1,9/05/2019,3,0,CCU ? JAI ? BOM ? BLR,08:20,07:55 10 May,23h 35m,1,8,0.32764937993235627
4,27/06/2019,2,1,DEL ? ATQ ? BOM ? COK,20:00,12:35 28 Jun,16h 35m,1,8,0.8354002254791432
3,03/03/2019,0,5,BLR ? DEL,18:55,21:45,2h 50m,4,8,0.06806651634723788
4,12/05/2019,3,0,CCU ? BOM ? BLR,16:30,18:15 13 May,25h 45m,0,5,0.3483652762119504
4,6/03/2019,2,1,DEL ? BOM ? COK,02:15,04:25 07 Mar,26h 10m,0,8,1.2192784667418264
4,1/05/2019,3,0,CCU ? DEL ? BLR,09:35,14:25 02 May,28h 50m,0,5,0.13275084554678693
3,24/03/2019,0,5,BLR ? DEL,00:40,03:25,2h 45m,4,8,-0.5066234498308907
1,9/06/2019,3,0,CCU ? BBI ? BLR,12:00,13:15 10 Jun,25h 15m,0,8,-0.10005636978579481
3,9/05/2019,2,1,DEL ? HYD ? COK,06:50,16:10,9h 20m,0,8,-0.27198421645997745
8,12/06/2019,2,1,DEL ? PNQ ? COK,08:45,13:15,4h 30m,0,8,-0.43799323562570464
4,27/05/2019,2,1,DEL ? BOM ? COK,13:00,04:25 28 May,15h 25m,0,5,0.6378241262683202
1,3/03/2019,4,3,BOM ? HYD,13:55,15:25,1h 30m,4,8,-0.32130777903043967
8,21/05/2019,0,2,BLR ? DEL,05:55,08:35,2h 40m,4,8,-0.7132187147688839
4,27/03/2019,2,1,DEL ? BOM ? COK,19:15,04:25 28 Mar,9h 10m,0,5,-0.25817361894024804
3,27/05/2019,0,2,BLR ? DEL,01:30,04:15,2h 45m,4,8,-0.6979988726042841
4,3/04/2019,2,1,DEL ? BOM ? COK,14:00,12:35 04 Apr,22h 35m,0,5,-0.45025366403607664
1,18/04/2019,2,1,DEL ? COK,18:05,21:10,3h 5m,4,8,-0.017756482525366404
4,9/06/2019,3,0,CCU ? DEL ? BLR,09:35,21:05,11h 30m,0,8,0.8883878241262683
6,27/06/2019,2,1,DEL ? BOM ? COK,11:30,21:00,9h 30m,0,8,0.7349210822998873
4,6/05/2019,3,0,CCU ? BOM ? BLR,21:10,09:20 07 May,12h 10m,0,5,0.18193348365276213
4,12/06/2019,3,0,CCU ? BOM ? BLR,16:30,10:05 13 Jun,17h 35m,0,8,0.6583990980834273
3,3/04/2019,2,1,DEL ? BOM ? COK,20:25,01:30 04 Apr,5h 5m,0,8,-0.46490980834272827
10,21/05/2019,3,0,CCU ? DEL ? BLR,17:00,18:50 22 May,25h 50m,0,8,0.137119503945885
4,6/05/2019,3,0,CCU ? BOM ? BLR,14:05,10:05 07 May,20h,0,5,0.18193348365276213
6,21/05/2019,2,1,DEL ? BOM ? COK,08:00,21:00,13h,0,8,0.8321589627959414
4,1/06/2019,2,1,DEL ? BOM ? COK,10:00,04:25 02 Jun,18h 25m,0,5,0.2663472378804961
4,27/03/2019,4,3,BOM ? HYD,19:35,21:05,1h 30m,4,8,-0.37965050732807215
6,15/05/2019,2,1,DEL ? BOM ? COK,16:00,01:30 16 May,9h 30m,0,8,0.7546505073280722
4,6/05/2019,3,0,CCU ? BOM ? BLR,20:00,12:00 07 May,16h,0,5,0.18193348365276213
3,12/05/2019,1,4,MAA ? CCU,14:45,17:05,2h 20m,4,8,-0.6361330326944757
8,24/06/2019,2,1,DEL ? PNQ ? COK,08:45,13:15,4h 30m,0,8,-0.5016910935738444
3,27/06/2019,2,1,DEL ? LKO ? COK,21:50,03:35 28 Jun,5h 45m,0,8,-0.36598083427282974
4,6/06/2019,3,0,CCU ? DEL ? BLR,09:35,09:45 07 Jun,24h 10m,0,5,0.3053833145434047
3,3/06/2019,3,0,CCU ? BLR,15:30,18:05,2h 35m,4,8,-0.5028184892897407
0,12/06/2019,0,2,BLR ? DEL,11:10,13:55,2h 45m,4,8,-0.7030721533258174
3,03/03/2019,0,5,BLR ? HYD ? DEL,12:10,17:05,4h 55m,0,8,0.05157835400225479
1,27/03/2019,2,1,DEL ? TRV ? COK,05:15,06:50 28 Mar,25h 35m,0,8,-0.17009582863585118
3,24/06/2019,2,1,DEL ? HYD ? COK,16:10,22:30,6h 20m,0,8,-0.2762119503945885
4,27/06/2019,0,2,BLR ? DEL,18:55,22:00,3h 5m,4,8,-0.050169109357384445
4,12/03/2019,0,5,BLR ? BOM ? DEL,20:35,15:15 13 Mar,18h 40m,0,5,0.3826099210822999
8,27/06/2019,1,4,MAA ? CCU,09:45,12:00,2h 15m,4,7,-0.6805242390078917
4,12/06/2019,3,0,CCU ? BOM ? BLR,16:30,04:40 13 Jun,12h 10m,0,8,0.5776493799323562
4,24/06/2019,2,1,DEL ? BOM ? COK,09:00,04:25 25 Jun,19h 25m,0,5,0.2663472378804961
1,18/03/2019,0,5,BLR ? DEL,13:20,16:10,2h 50m,4,8,-0.5539740698985344
6,27/03/2019,2,1,DEL ? BOM ? COK,07:05,15:30,8h 25m,0,8,0.5869503945885005
2,24/03/2019,3,0,CCU ? BOM ? BLR,22:25,07:40 25 Mar,9h 15m,0,8,0.24224915445321307
1,3/06/2019,0,2,BLR ? DEL,21:05,23:55,2h 50m,4,8,-0.1988444193912063
3,24/04/2019,2,1,DEL ? COK,05:35,08:50,3h 15m,4,8,-0.4733652762119504
1,18/05/2019,2,1,DEL ? COK,05:10,08:00,2h 50m,4,8,-0.20264937993235627
6,3/06/2019,2,1,DEL ? BOM ? COK,06:40,19:00,12h 20m,0,8,0.35301578354002255
4,18/04/2019,0,2,BLR ? DEL,15:15,18:10,2h 55m,4,8,-0.16107666290868095
3,27/03/2019,2,1,DEL ? BOM ? COK,16:00,01:35 28 Mar,9h 35m,0,8,-0.18658399098083428
10,27/06/2019,0,2,BLR ? DEL,17:00,19:35,2h 35m,4,8,-0.4923900789177001
4,21/05/2019,3,0,CCU ? BOM ? BLR,14:05,23:35,9h 30m,0,5,0.3483652762119504
4,18/05/2019,2,1,DEL ? AMD ? BOM ? COK,23:05,04:25 20 May,29h 20m,1,8,0.9522266065388951
3,12/05/2019,0,2,BLR ? DEL,00:30,03:25,2h 55m,4,8,-0.6241544532130778
8,6/06/2019,2,1,DEL ? MAA ? COK,06:05,11:20,5h 15m,0,8,-0.3930383314543405
6,6/06/2019,2,1,DEL ? HYD ? COK,07:05,16:10,9h 5m,0,8,0.17953776775648253
6,3/06/2019,2,1,DEL ? BOM ? COK,08:30,19:15,10h 45m,0,8,-0.09794250281848929
3,1/06/2019,2,1,DEL ? BLR ? COK,05:10,10:05,4h 55m,0,8,-0.21561443066516348
4,24/06/2019,4,3,BOM ? HYD,08:45,10:15,1h 30m,4,5,-0.475901916572717
10,9/06/2019,3,0,CCU ? DEL ? BLR,07:10,18:50,11h 40m,0,8,0.16671364148816234
3,1/06/2019,0,2,BLR ? DEL,01:30,04:15,2h 45m,4,8,-0.6052705749718151
4,12/05/2019,0,2,BLR ? DEL,15:15,18:10,2h 55m,4,8,-0.16107666290868095
6,9/06/2019,2,1,DEL ? BOM ? COK,09:00,19:00,10h,0,8,0.5383314543404735
1,12/04/2019,0,2,BLR ? DEL,10:00,12:45,2h 45m,4,8,-0.346815107102593
1,12/06/2019,2,1,DEL ? BOM ? COK,09:00,19:15,10h 15m,0,8,0.0
4,18/03/2019,4,3,BOM ? HYD,07:10,08:35,1h 25m,4,5,-0.475901916572717
6,9/05/2019,2,1,DEL ? BOM ? COK,10:00,19:15,9h 15m,0,8,0.838641488162345
4,9/06/2019,2,1,DEL ? JAI ? BOM ? COK,05:30,04:25 10 Jun,22h 55m,1,8,0.6541713641488163
1,6/06/2019,2,1,DEL ? CCU ? BOM ? COK,14:25,19:15 07 Jun,28h 50m,1,8,0.7354847801578354
4,3/03/2019,2,1,DEL ? IDR ? BOM ? COK,05:25,18:50 04 Mar,37h 25m,1,8,1.4694193912063134
3,27/04/2019,0,2,BLR ? DEL,23:30,02:20 28 Apr,2h 50m,4,8,-0.6241544532130778
8,21/05/2019,4,3,BOM ? HYD,05:45,07:15,1h 30m,4,7,-0.9029030439684329
4,27/05/2019,4,3,BOM ? HYD,10:20,11:50,1h 30m,4,5,-0.475901916572717
1,24/03/2019,3,0,CCU ? BOM ? BLR,16:50,18:30 25 Mar,25h 40m,0,8,0.8834554678692221
1,12/04/2019,3,0,CCU ? BLR,20:45,23:20,2h 35m,4,8,-0.5512965050732808
1,18/05/2019,2,1,DEL ? BOM ? COK,13:00,19:15,6h 15m,0,8,0.2563416009019166
4,9/03/2019,2,1,DEL ? BOM ? COK,02:15,19:45,17h 30m,0,5,0.7709977452085682
3,1/05/2019,2,1,DEL ? LKO ? COK,21:50,03:35 02 May,5h 45m,0,8,-0.28509019165727173
0,1/05/2019,3,0,CCU ? BLR,10:20,12:55,2h 35m,4,8,-0.5584836527621195
4,6/03/2019,2,1,DEL ? BOM ? COK,18:15,19:45 07 Mar,25h 30m,0,8,1.2192784667418264
6,18/05/2019,2,1,DEL ? BOM ? COK,07:05,21:00,13h 55m,0,8,0.7546505073280722
3,15/03/2019,0,5,BLR ? DEL,18:25,21:20,2h 55m,4,8,0.06806651634723788
6,24/06/2019,2,1,DEL ? BOM ? COK,08:45,19:00,10h 15m,0,8,0.5851183765501691
4,18/03/2019,0,5,BLR ? BOM ? DEL,11:40,20:20,8h 40m,0,8,0.7304114994363021
4,6/06/2019,3,0,CCU ? BOM ? BLR,06:30,12:00,5h 30m,0,5,0.3483652762119504
6,9/06/2019,2,1,DEL ? BOM ? COK,09:00,21:00,12h,0,8,0.7349210822998873
8,12/06/2019,1,4,MAA ? CCU,09:45,12:00,2h 15m,4,7,-0.6805242390078917
10,18/03/2019,1,4,MAA ? CCU,07:05,09:20,2h 15m,4,8,-0.4974633596392334
3,24/04/2019,0,2,BLR ? DEL,23:30,02:20 25 Apr,2h 50m,4,8,-0.6241544532130778
4,9/06/2019,2,1,DEL ? BOM ? COK,19:15,04:25 10 Jun,9h 10m,0,5,0.31073844419391206
3,15/05/2019,2,1,DEL ? BOM ? COK,10:35,21:00,10h 25m,0,8,-0.1963077790304397
10,27/06/2019,1,4,MAA ? CCU,17:45,20:05,2h 20m,4,8,0.5087373167981961
8,6/06/2019,2,1,DEL ? PNQ ? COK,08:45,13:15,4h 30m,0,8,-0.43799323562570464
10,3/03/2019,2,1,DEL ? COK,06:00,09:10,3h 10m,4,8,-0.052282976324689964
1,1/06/2019,2,1,DEL ? AMD ? BOM ? COK,19:45,19:15 02 Jun,23h 30m,1,8,0.3211668545659527
4,24/05/2019,3,0,CCU ? BOM ? BLR,16:30,19:50 25 May,27h 20m,0,5,0.3483652762119504
